run_id,run_date,run_time,run_datetime,day_of_year,city,latitude,longitude,panel_material,panel_face_type,panel_area_m2,panel_base_efficiency,panel_material_factor,panel_effective_base_efficiency,panel_bifacial_gain_factor,cloud_cover_pct,rain_mm,temperature_c,wind_speed_kmh,irradiance_theoretical_w_m2,irradiance_adjusted_w_m2,pv_efficiency,pv_power_kw,grid_carbon_intensity_gco2_kwh,job_flops,job_duration_s,job_energy_j,job_energy_kwh,job_average_power_kw,energy_total_kwh,energy_pv_kwh,energy_grid_kwh,co2_g
run_20260511_152137,2026-05-11,15:21:37,2026-05-11 15:21:37,131,"Belem",-1.4558,-48.4902,"monocrystalline","monofacial",10,0.2,1,0.2,1.1,0,0,28,0,600.934,600.934,0.2,1.20187,100,5e+10,1,250,6.94444e-05,0.25,6.94444e-05,6.94444e-05,0,0
run_20260511_152236,2026-05-11,15:22:36,2026-05-11 15:22:36,131,"Belem",-1.4558,-48.4902,"monocrystalline","monofacial",10,0.2,1,0.2,1.1,0,0,28,0,597.734,597.734,0.2,1.19547,100,5e+10,1,250,6.94444e-05,0.25,6.94444e-05,6.94444e-05,0,0
run_20260511_152305,2026-05-11,15:23:05,2026-05-11 15:23:05,131,"Belem",-1.4558,-48.4902,"monocrystalline","monofacial",10,0.2,1,0.2,1.1,0,0,28,0,594.524,594.524,0.2,1.18905,100,5e+10,1,250,6.94444e-05,0.25,6.94444e-05,6.94444e-05,0,0
run_20260511_153426,2026-05-11,15:34:26,2026-05-11 15:34:26,131,"Belem",-1.4558,-48.4902,"monocrystalline","monofacial",10,0.2,1,0.2,1.1,0,0,28,0,558.463,558.463,0.2,1.11693,100,5e+10,1,250,6.94444e-05,0.25,6.94444e-05,6.94444e-05,0,0
run_20260511_153518,2026-05-11,15:35:18,2026-05-11 15:35:18,131,"Belem",-1.4558,-48.4902,"monocrystalline","monofacial",10,0.2,1,0.2,1.1,0,0,28,0,555.119,555.119,0.2,1.11024,100,5e+10,1,250,6.94444e-05,0.25,6.94444e-05,6.94444e-05,0,0
run_20260511_160340,2026-05-11,16:03:40,2026-05-11 16:03:40,131,"Belem",-1.4558,-48.4902,"monocrystalline","monofacial",10,0.2,1,0.2,1.1,0,0,28,0,457.368,457.368,0.2,0.914735,100,5e+10,1,250,6.94444e-05,0.25,6.94444e-05,6.94444e-05,0,0
run_20260511_160917,2026-05-11,16:09:17,2026-05-11 16:09:17,131,"Belem",-1.4558,-48.4902,"monocrystalline","monofacial",10,0.2,1,0.2,1.1,0,0,28,0,435.467,435.467,0.2,0.870934,100,5e+10,1,250,6.94444e-05,0.25,6.94444e-05,6.94444e-05,0,0
run_20260511_161513,2026-05-11,16:15:13,2026-05-11 16:15:13,131,"Belem",-1.4558,-48.4902,"monocrystalline","monofacial",10,0.2,1,0.2,1.1,0,0,28,0,413.263,413.263,0.2,0.826526,100,5e+10,1,250,6.94444e-05,0.25,6.94444e-05,6.94444e-05,0,0
