run_id;run_date;run_time;run_datetime;day_of_year;city;latitude;longitude;panel_material;panel_face_type;panel_area_m2;panel_base_efficiency;panel_material_factor;panel_effective_base_efficiency;panel_bifacial_gain_factor;cloud_cover_pct;rain_mm;temperature_c;wind_speed_kmh;irradiance_theoretical_w_m2;irradiance_adjusted_w_m2;pv_efficiency;pv_power_kw;grid_carbon_intensity_gco2_kwh;job_flops;job_duration_s;job_energy_j;job_energy_kwh;job_average_power_kw;energy_total_kwh;energy_pv_kwh;energy_grid_kwh;co2_g
run_20260618_060300;2026-06-18;06:03:00;2026-06-18 06:03:00;169;"Belém";-1.345;-48.4219;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;4;0;22.6;2.5;2.68145;2.60101;0.2004;0.00521242;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;1.44789e-06;6.79965e-05;0.00679965
run_20260618_060419;2026-06-18;06:04:19;2026-06-18 06:04:19;169;"Belém";-1.345;-48.4219;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;4;0;22.6;2.5;6.68394;6.48342;0.2004;0.0129928;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;3.6091e-06;6.58353e-05;0.00658353
run_20260618_060554;2026-06-18;06:05:54;2026-06-18 06:05:54;169;"Belém";-1.345;-48.4219;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;4;0;22.6;2.5;10.6861;10.3655;0.2004;0.0207725;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;5.77015e-06;6.36743e-05;0.00636743
run_20260618_060700;2026-06-18;06:07:00;2026-06-18 06:07:00;169;"Belém";-1.345;-48.4219;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;4;0;22.6;2.5;18.6893;18.1286;0.2004;0.0363297;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;1.00916e-05;5.93529e-05;0.00593529
run_20260618_060804;2026-06-18;06:08:04;2026-06-18 06:08:04;169;"Belém";-1.345;-48.4219;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;4;0;22.6;2.5;22.6901;22.0094;0.2004;0.0441068;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;1.22519e-05;5.71926e-05;0.00571926
run_20260618_060907;2026-06-18;06:09:07;2026-06-18 06:09:07;169;"Belém";-1.345;-48.4219;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;4;0;22.6;2.5;26.6903;25.8896;0.2004;0.0518827;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;1.44119e-05;5.50326e-05;0.00550326
run_20260618_061011;2026-06-18;06:10:11;2026-06-18 06:10:11;169;"Belém";-1.345;-48.4219;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;4;0;22.6;2.5;30.6898;29.7691;0.2004;0.0596572;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;1.65715e-05;5.2873e-05;0.0052873
run_20260618_061130;2026-06-18;06:11:30;2026-06-18 06:11:30;169;"Belém";-1.345;-48.4219;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;4;0;22.6;2.5;34.6885;33.6479;0.2004;0.0674303;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;1.87306e-05;5.07138e-05;0.00507138
run_20260618_061234;2026-06-18;06:12:34;2026-06-18 06:12:34;169;"Belém";-1.345;-48.4219;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;4;0;22.6;2.5;38.6864;37.5258;0.2004;0.0752018;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;2.08894e-05;4.85551e-05;0.00485551
run_20260618_061337;2026-06-18;06:13:37;2026-06-18 06:13:37;169;"Belém";-1.345;-48.4219;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;4;0;22.6;2.5;42.6834;41.4029;0.2004;0.0829715;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;2.30476e-05;4.63968e-05;0.00463968
run_20260618_061457;2026-06-18;06:14:57;2026-06-18 06:14:57;169;"Belém";-1.345;-48.4219;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;4;0;22.6;2.5;46.6794;45.2791;0.2004;0.0907392;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;2.52053e-05;4.42391e-05;0.00442391
