run_id;run_date;run_time;run_datetime;day_of_year;city;latitude;longitude;panel_material;panel_face_type;panel_area_m2;panel_base_efficiency;panel_material_factor;panel_effective_base_efficiency;panel_bifacial_gain_factor;cloud_cover_pct;rain_mm;temperature_c;wind_speed_kmh;irradiance_theoretical_w_m2;irradiance_adjusted_w_m2;pv_efficiency;pv_power_kw;grid_carbon_intensity_gco2_kwh;job_flops;job_duration_s;job_energy_j;job_energy_kwh;job_average_power_kw;energy_total_kwh;energy_pv_kwh;energy_grid_kwh;co2_g
run_20260621_060326;2026-06-21;06:03:26;2026-06-21 06:03:26;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;24;0;23.3;5.6;1.90913;1.56549;0.200896;0.003145;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;8.7361e-07;6.85708e-05;0.00685708
run_20260621_060434;2026-06-21;06:04:34;2026-06-21 06:04:34;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;24;0;23.3;5.6;5.91032;4.84646;0.200896;0.00973635;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;2.70454e-06;6.67399e-05;0.00667399
run_20260621_060542;2026-06-21;06:05:42;2026-06-21 06:05:42;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;24;0;23.3;5.6;9.91121;8.12719;0.200896;0.0163272;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;4.53534e-06;6.49091e-05;0.00649091
run_20260621_060650;2026-06-21;06:06:50;2026-06-21 06:06:50;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;24;0;23.3;5.6;13.9117;11.4076;0.200896;0.0229174;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.36595e-06;6.30785e-05;0.00630785
run_20260621_060754;2026-06-21;06:07:54;2026-06-21 06:07:54;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;24;0;23.3;5.6;17.9118;14.6877;0.200896;0.0295069;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;8.19636e-06;6.12481e-05;0.00612481
run_20260621_060901;2026-06-21;06:09:01;2026-06-21 06:09:01;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;24;0;23.3;5.6;25.9102;21.2464;0.200896;0.0426831;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;1.18564e-05;5.7588e-05;0.0057588
run_20260621_061009;2026-06-21;06:10:09;2026-06-21 06:10:09;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;24;0;23.3;5.6;29.9084;24.5249;0.200896;0.0492696;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;1.3686e-05;5.57585e-05;0.00557585
run_20260621_061117;2026-06-21;06:11:17;2026-06-21 06:11:17;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;24;0;23.3;5.6;33.9059;27.8028;0.200896;0.0558548;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;1.55152e-05;5.39292e-05;0.00539292
run_20260621_061224;2026-06-21;06:12:24;2026-06-21 06:12:24;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;24;0;23.3;5.6;37.9025;31.0801;0.200896;0.0624386;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;1.73441e-05;5.21004e-05;0.00521004
run_20260621_061332;2026-06-21;06:13:32;2026-06-21 06:13:32;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;24;0;23.3;5.6;41.8982;34.3565;0.200896;0.0690209;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;1.91725e-05;5.0272e-05;0.0050272
run_20260621_061439;2026-06-21;06:14:39;2026-06-21 06:14:39;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;24;0;23.3;5.6;45.8929;37.6322;0.200896;0.0756016;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;2.10004e-05;4.8444e-05;0.0048444
run_20260621_061547;2026-06-21;06:15:47;2026-06-21 06:15:47;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.3;5.5;49.8866;41.2812;0.20088;0.0829256;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;2.30349e-05;4.64096e-05;0.00464096
run_20260621_061654;2026-06-21;06:16:54;2026-06-21 06:16:54;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.3;5.5;53.8791;44.585;0.20088;0.0895623;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;2.48784e-05;4.4566e-05;0.0044566
run_20260621_061801;2026-06-21;06:18:01;2026-06-21 06:18:01;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.3;5.5;61.8604;51.1895;0.20088;0.102829;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;2.85637e-05;4.08807e-05;0.00408807
run_20260621_061907;2026-06-21;06:19:07;2026-06-21 06:19:07;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.3;5.5;65.849;54.4901;0.20088;0.10946;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;3.04055e-05;3.9039e-05;0.0039039
run_20260621_062012;2026-06-21;06:20:12;2026-06-21 06:20:12;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.3;5.5;69.8362;57.7895;0.20088;0.116087;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;3.22465e-05;3.71979e-05;0.00371979
run_20260621_062119;2026-06-21;06:21:19;2026-06-21 06:21:19;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.3;5.5;73.8219;61.0876;0.20088;0.122713;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;3.40869e-05;3.53576e-05;0.00353576
run_20260621_062227;2026-06-21;06:22:27;2026-06-21 06:22:27;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.3;5.5;77.806;64.3844;0.20088;0.129335;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;3.59265e-05;3.35179e-05;0.00335179
run_20260621_062334;2026-06-21;06:23:34;2026-06-21 06:23:34;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.3;5.5;81.7883;67.6799;0.20088;0.135955;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;3.77654e-05;3.16791e-05;0.00316791
run_20260621_062441;2026-06-21;06:24:41;2026-06-21 06:24:41;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.3;5.5;85.769;70.9738;0.20088;0.142572;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;3.96034e-05;2.9841e-05;0.0029841
run_20260621_062549;2026-06-21;06:25:49;2026-06-21 06:25:49;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.3;5.5;89.7478;74.2663;0.20088;0.149186;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;4.14406e-05;2.80038e-05;0.00280038
run_20260621_062656;2026-06-21;06:26:56;2026-06-21 06:26:56;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.3;5.5;93.7247;77.5572;0.20088;0.155797;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;4.32769e-05;2.61675e-05;0.00261675
run_20260621_062804;2026-06-21;06:28:04;2026-06-21 06:28:04;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.3;5.5;101.673;84.134;0.20088;0.169008;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;4.69468e-05;2.24977e-05;0.00224977
run_20260621_062912;2026-06-21;06:29:12;2026-06-21 06:29:12;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.3;5.5;105.643;87.4198;0.20088;0.175609;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;4.87803e-05;2.06642e-05;0.00206642
run_20260621_063019;2026-06-21;06:30:19;2026-06-21 06:30:19;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.4;5.7;109.612;90.7038;0.200912;0.182235;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;5.06208e-05;1.88236e-05;0.00188236
run_20260621_063127;2026-06-21;06:31:27;2026-06-21 06:31:27;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.4;5.7;113.578;93.9859;0.200912;0.188829;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;5.24525e-05;1.69919e-05;0.00169919
run_20260621_063230;2026-06-21;06:32:30;2026-06-21 06:32:30;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.4;5.7;117.542;97.2661;0.200912;0.195419;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;5.42831e-05;1.51613e-05;0.00151613
run_20260621_063338;2026-06-21;06:33:38;2026-06-21 06:33:38;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.4;5.7;121.504;100.544;0.200912;0.202005;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;5.61126e-05;1.33318e-05;0.00133318
run_20260621_063446;2026-06-21;06:34:46;2026-06-21 06:34:46;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.4;5.7;125.463;103.82;0.200912;0.208587;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;5.79409e-05;1.15035e-05;0.00115035
run_20260621_063553;2026-06-21;06:35:53;2026-06-21 06:35:53;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.4;5.7;129.419;107.094;0.200912;0.215165;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;5.97681e-05;9.67637e-06;0.000967637
run_20260621_063701;2026-06-21;06:37:01;2026-06-21 06:37:01;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.4;5.7;137.324;113.635;0.200912;0.228307;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.34186e-05;6.0258e-06;0.00060258
run_20260621_063808;2026-06-21;06:38:08;2026-06-21 06:38:08;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.4;5.7;141.272;116.903;0.200912;0.234871;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.5242e-05;4.20244e-06;0.000420244
run_20260621_063915;2026-06-21;06:39:15;2026-06-21 06:39:15;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.4;5.7;145.217;120.167;0.200912;0.241431;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.7064e-05;2.38042e-06;0.000238042
run_20260621_064022;2026-06-21;06:40:22;2026-06-21 06:40:22;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.4;5.7;149.16;123.43;0.200912;0.247985;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.88847e-05;5.59754e-07;5.59754e-05
run_20260621_064129;2026-06-21;06:41:29;2026-06-21 06:41:29;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.4;5.7;153.099;126.689;0.200912;0.254534;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260621_064237;2026-06-21;06:42:37;2026-06-21 06:42:37;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.4;5.7;157.035;129.947;0.200912;0.261078;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260621_064341;2026-06-21;06:43:41;2026-06-21 06:43:41;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.4;5.7;160.968;133.201;0.200912;0.267617;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260621_064448;2026-06-21;06:44:48;2026-06-21 06:44:48;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.4;5.7;164.898;136.453;0.200912;0.274151;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260621_064555;2026-06-21;06:45:55;2026-06-21 06:45:55;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.6;5.8;168.825;139.702;0.200928;0.280701;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260621_064703;2026-06-21;06:47:03;2026-06-21 06:47:03;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.6;5.8;176.667;146.192;0.200928;0.293741;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260621_064810;2026-06-21;06:48:10;2026-06-21 06:48:10;172;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;23;0;23.6;5.8;180.583;149.433;0.200928;0.300252;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
