run_id;run_date;run_time;run_datetime;day_of_year;city;latitude;longitude;panel_material;panel_face_type;panel_area_m2;panel_base_efficiency;panel_material_factor;panel_effective_base_efficiency;panel_bifacial_gain_factor;cloud_cover_pct;rain_mm;temperature_c;wind_speed_kmh;irradiance_theoretical_w_m2;irradiance_adjusted_w_m2;pv_efficiency;pv_power_kw;grid_carbon_intensity_gco2_kwh;job_flops;job_duration_s;job_energy_j;job_energy_kwh;job_average_power_kw;energy_total_kwh;energy_pv_kwh;energy_grid_kwh;co2_g
run_20260617_103852;17/06/2026;10:38:52;17/06/2026 10:38;168;Belém;-14.537;-485.078;monocrystalline;monofacial;10;0.2;1;0.2;1.1;66;0;27;6.3;849.371;428.932;0.199199;0.854429;100;5,00E+10;1;250;6,94E+00;0.25;6,94E+00;6,94E+00;0;0
run_20260617_104321;2026-06-17;10:43:21;2026-06-17 10:43:21;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;66;0;27;6.3;856.176;432.369;0.199199;0.861275;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_104420;2026-06-17;10:44:20;2026-06-17 10:44:20;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;66;0;27;6.3;857.488;433.031;0.199199;0.862594;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_104519;2026-06-17;10:45:19;2026-06-17 10:45:19;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;47;0;27.7;7.3;858.783;556.062;0.198724;1.10503;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_104618;2026-06-17;10:46:18;2026-06-17 10:46:18;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;47;0;27.7;7.3;860.062;556.89;0.198724;1.10667;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_104717;2026-06-17;10:47:17;2026-06-17 10:47:17;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;47;0;27.7;7.3;861.324;557.707;0.198724;1.1083;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_104815;2026-06-17;10:48:15;2026-06-17 10:48:15;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;47;0;27.7;7.3;862.569;558.514;0.198724;1.1099;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_104915;2026-06-17;10:49:15;2026-06-17 10:49:15;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;47;0;27.7;7.3;863.798;559.309;0.198724;1.11148;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_105014;2026-06-17;10:50:14;2026-06-17 10:50:14;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;47;0;27.7;7.3;865.01;560.094;0.198724;1.11304;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_105112;2026-06-17;10:51:12;2026-06-17 10:51:12;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;47;0;27.7;7.3;866.206;560.868;0.198724;1.11458;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_105211;2026-06-17;10:52:11;2026-06-17 10:52:11;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;47;0;27.7;7.3;867.385;561.632;0.198724;1.1161;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_105310;2026-06-17;10:53:10;2026-06-17 10:53:10;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;47;0;27.7;7.3;868.547;562.384;0.198724;1.11759;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_105408;2026-06-17;10:54:08;2026-06-17 10:54:08;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;47;0;27.7;7.3;869.692;563.126;0.198724;1.11907;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_105507;2026-06-17;10:55:07;2026-06-17 10:55:07;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;47;0;27.7;7.3;870.821;563.857;0.198724;1.12052;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_105605;2026-06-17;10:56:05;2026-06-17 10:56:05;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;47;0;27.7;7.3;871.933;564.577;0.198724;1.12195;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_105703;2026-06-17;10:57:03;2026-06-17 10:57:03;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;47;0;27.7;7.3;873.028;565.286;0.198724;1.12336;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_105802;2026-06-17;10:58:02;2026-06-17 10:58:02;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;47;0;27.7;7.3;874.107;565.984;0.198724;1.12474;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_105901;2026-06-17;10:59:01;2026-06-17 10:59:01;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;47;0;27.7;7.3;875.168;566.671;0.198724;1.12611;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
run_20260617_110004;2026-06-17;11:00:04;2026-06-17 11:00:04;168;"Belém";-1.4537;-48.5078;"monocrystalline";"monofacial";10;0.2;1;0.2;1.1;39;0;28.2;7.8;876.213;619.92;0.19835;1.22961;100;5e+10;1;250;6.94444e-05;0.25;6.94444e-05;6.94444e-05;0;0
